8	10	30	30
8	10	31	31
8	10	32	32
8	10	33	33
8	10	34	34
8	10	35	35
8	10	36	36
8	10	37	37
8	10	38	38
8	10	39	39
8	0	3a	3a
8	0	2f	2f
8	0	40	40
8	0	23	23
8	0	3f	3f
8	0	3d	3d
8	0	2b	2b
8	0	2d	2d
8	0	5f	5f
8	0	2e	2e
8	0	25	25
8	0	26	26
8	0	5c	5c
9
10	11	61	61
10	11	62	62
10	11	63	63
10	11	64	64
10	11	65	65
10	11	66	66
10	0	67	67
10	0	68	68
10	0	69	69
10	0	6a	6a
10	0	6b	6b
10	0	6c	6c
10	0	6d	6d
10	0	6e	6e
10	0	6f	6f
10	0	70	70
10	0	71	71
10	0	72	72
10	0	73	73
10	0	74	74
10	0	75	75
10	0	76	76
10	0	77	77
10	0	78	78
10	0	79	79
10	0	7a	7a
10	11	41	41
10	11	42	42
10	11	43	43
10	11	44	44
10	11	45	45
10	11	46	46
10	0	47	47
10	0	48	48
10	0	49	49
10	0	4a	4a
10	0	4b	4b
10	0	4c	4c
10	0	4d	4d
10	0	4e	4e
10	0	4f	4f
10	0	50	50
10	0	51	51
10	0	52	52
10	0	53	53
10	0	54	54
10	0	55	55
10	0	56	56
10	0	57	57
10	0	58	58
10	0	59	59
10	0	5a	5a
10	11	30	30
10	11	31	31
10	11	32	32
10	11	33	33
10	11	34	34
10	11	35	35
10	11	36	36
10	11	37	37
10	11	38	38
10	11	39	39
10	0	3a	3a
10	0	2f	2f
10	0	40	40
10	0	23	23
10	0	3f	3f
10	0	3d	3d
10	0	2b	2b
10	0	2d	2d
10	0	5f	5f
10	0	2e	2e
10	0	25	25
10	0	26	26
10	0	5c	5c
11	12	61	61
11	12	62	62
11	12	63	63
11	12	64	64
11	12	65	65
11	12	66	66
11	0	67	67
11	0	68	68
11	0	69	69
11	0	6a	6a
11	0	6b	6b
11	0	6c	6c
11	0	6d	6d
11	0	6e	6e
11	0	6f	6f
11	0	70	70
11	0	71	71
11	0	72	72
11	0	73	73
11	0	74	74
11	0	75	75
11	0	76	76
11	0	77	77
11	0	78	78
11	0	79	79
11	0	7a	7a
11	12	41	41
11	12	42	42
11	12	43	43
11	12	44	44
11	12	45	45
11	12	46	46
11	0	47	47
11	0	48	48
11	0	49	49
11	0	4a	4a
11	0	4b	4b
11	0	4c	4c
11	0	4d	4d
11	0	4e	4e
11	0	4f	4f
11	0	50	50
11	0	51	51
11	0	52	52
11	0	53	53
11	0	54	54
11	0	55	55
11	0	56	56
